Neighborhood,2022 Incident Count,2023 Incident Count,2024 Incident Count (last updated Oct 3),Comment
Allegheny Center,2,,2,
Allegheny West,,,,
Allentown,3,5,4,
Arlington,,,1,
Arlington Heights,1,1,1,
Banksville,,1,,
Bedford Dwellings,7,3,3,
Beechview,1,,3,
Beltzhoover,2,3,1,
Bloomfield,1,,3,
Bluff,5,2,4,(also known as Uptown or Soho)
Bon Air,,1,,
Brighton Heights,6,4,1,
Brookline,1,1,1,
Brunot Island,,,,
California-Kirkbride,2,,2,
Carrick,1,3,4,
Central Business District,4,5,2,(also known as Downtown and the Golden Triangle)
Central Lawrenceville,1,,2,
Central Northside,3,2,1,
Chartiers,,,1,
Chateau,1,,,
Chatham Village,,,,
Crafton Heights,,1,1,
Crawford-Roberts,3,,3,
Duck Hollow,,,,
Duquesne Heights,2,1,2,
East Allegheny,3,,2,(also known as Deutschtown)
East Hills,4,10,3,
East Liberty,1,1,2,
Elliott,2,1,1,
Fairywood,,,4,
Fineview,1,,,
Four Mile Run,,,,
Friendship,,1,,
Garfield,,3,1,
Glen Hazel,,,,
Greenfield,1,2,,
Hays,,,,
Hazelwood,5,2,,
Highland Park,1,,,
Hilltop,,,,
Homewood North,9,5,2,
Homewood South,11,5,6,
Homewood West,2,3,1,
Knoxville,8,7,5,
Larimer,2,1,5,
Lincoln Place,,,,
Lincoln Lemington Belmar,2,7,4,
Lower Lawrenceville,,,,
Manchester,2,,,
Marshall-Shadeland,5,2,2,(also known as Brightwood and Woods Run)
Middle Hill,7,8,3,
Morningside,1,,,
Mount Oliver,1,1,,(not to be confused with the neighboring borough of Mount Oliver)
Mount Washington,2,1,1,
New Homestead,,,,
North Oakland,,2,1,
North Point Breeze,,,,
North Shore,1,,,
Northview Heights,2,1,1,
Outside City,1,,,
Oakwood,,,,
Overbrook,1,,2,
Panther Hollow,,,,
Park Place,,,,
Perry North,,,,(also known as Observatory Hill)
Perry South,4,4,,(also known as Perry Hilltop)
Point Breeze,,,,
Polish Hill,,,,
Regent Square,,,,
Ridgemont,,,1,
Saint Clair,1,1,,
Shadyside,1,1,3,
Sheraden,7,2,3,
South Oakland,,,,
South Shore,,,1,
South Side Flats,10,5,3,
South Side Slopes,,3,2,
SouthSide Works,,,,
Spring Garden,,,,
Spring Hill City View,3,,,
Squirrel Hill North,,,,
Squirrel Hill South,1,2,1,
Stanton Heights,1,1,,
Station Square,,,,
Strip District,1,1,,
Summer Hill,,,,
Summerset,,,,
Swisshelm Park,,,,
Terrace Village,2,2,1,
The Valley,,,,
Troy Hill,2,1,1,
Upper Hill,1,,,
Upper Lawrenceville,1,,,
Washington's Landing,,,,
West End,,,1,
West Oakland,1,6,1,
Westwood,1,,,
Windgap,,,,
